strain	genbank_accession	date	country	location	length	host	bioproject_accession	biosample_accession	sra_accession	authors	publications	Nextstrain_lineage
USA_2022_LA0003|OQ320519.1|2022-09	OQ320519.1	2022-09	USA	LA	197200	Homo sapiens	PRJNA849962	SAMN32727609	USA_2022_LA0003	Gigante,C., Haydel,D., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Weigand,M., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Salinas,A., Li,Y.		B.1.2
USA_2022_MN0008|OQ320520.1|2022-09	OQ320520.1	2022-09	USA	MN	197158	Homo sapiens	PRJNA849962	SAMN32727610	USA_2022_MN0008	Gigante,C., Ostadkar,R., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Weigand,M., Knipe,K., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,X., Li,Y.		B.1
USA_2022_MN0009|OQ320521.1|2022-09	OQ320521.1	2022-09	USA	MN	197169	Homo sapiens	PRJNA849962	SAMN32727611	USA_2022_MN0009	Gigante,C., Ostadkar,R., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Weigand,M., Knipe,K., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,X., Li,Y.		B.1
USA_2022_MN0010|OQ320522.1|2022-09	OQ320522.1	2022-09	USA	MN	197174	Homo sapiens	PRJNA849962	SAMN32727612	USA_2022_MN0010	Gigante,C., Ostadkar,R., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Weigand,M., Knipe,K., Burroughs,M.S., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., Wang,X., Li,Y.		B.1
USA_2022_TX0034|OQ320523.1|2022-09	OQ320523.1	2022-09	USA	TX	197144	Homo sapiens	PRJNA849962	SAMN32727619	USA_2022_TX0034	Gigante,C., Kubin,G., Zhao,H., Batra,D., Hetrick,E., Howard,D., Kovar,L., Seabolt,M., Morrison,S., Desch,M., Knipe,K., Burroughs,M.R., Lee,J., Wilkins,K., McCollum,A., Hutson,C., Davidson,W., Rao,A., White,S., Li,Y.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00366/2022|OQ330970.1|2022-08-19	OQ330970.1	2022-08-19	USA		195592	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00366/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00367/2022|OQ330971.1|2022-08-18	OQ330971.1	2022-08-18	USA		195978	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00367/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.17
Monkeypox_virus/Human/USA/CA-LACPHL-MA00372/2022|OQ330972.1|2022-10-18	OQ330972.1	2022-10-18	USA		196432	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00372/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00394/2022|OQ330973.1|2022-12-23	OQ330973.1	2022-12-23	USA		196351	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00394/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00395/2022|OQ330974.1|2022-12-23	OQ330974.1	2022-12-23	USA		195591	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00395/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00368/2022|OQ330975.1|2022-08-18	OQ330975.1	2022-08-18	USA		196291	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00368/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.8
Monkeypox_virus/Human/USA/CA-LACPHL-MA00369/2022|OQ330976.1|2022-10-24	OQ330976.1	2022-10-24	USA		195592	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00369/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00370/2022|OQ330977.1|2022-10-26	OQ330977.1	2022-10-26	USA		195954	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00370/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00375/2022|OQ330978.1|2022-10-06	OQ330978.1	2022-10-06	USA		196395	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00375/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.18
Monkeypox_virus/Human/USA/CA-LACPHL-MA00387/2022|OQ330979.1|2022-12-05	OQ330979.1	2022-12-05	USA		195594	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00387/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00363/2022|OQ330980.1|2022-10-07	OQ330980.1	2022-10-07	USA		195593	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00363/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00376/2022|OQ330981.1|2022-10-09	OQ330981.1	2022-10-09	USA		195962	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00376/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.17
Monkeypox_virus/Human/USA/CA-LACPHL-MA00377/2022|OQ330982.1|2022-10-09	OQ330982.1	2022-10-09	USA		195591	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00377/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00378/2022|OQ330983.1|2022-10-11	OQ330983.1	2022-10-11	USA		196361	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00378/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00364/2022|OQ330984.1|2022-10-11	OQ330984.1	2022-10-11	USA		196390	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00364/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.11
Monkeypox_virus/Human/USA/CA-LACPHL-MA00379/2022|OQ330985.1|2022-10-12	OQ330985.1	2022-10-12	USA		196434	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00379/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00380/2022|OQ330986.1|2022-10-14	OQ330986.1	2022-10-14	USA		196444	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00380/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00381/2022|OQ330987.1|2022-10-14	OQ330987.1	2022-10-14	USA		196232	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00381/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00382/2022|OQ330988.1|2022-10-14	OQ330988.1	2022-10-14	USA		195593	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00382/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00365/2022|OQ330989.1|2022-10-19	OQ330989.1	2022-10-19	USA		196391	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00365/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.18
Monkeypox_virus/Human/USA/CA-LACPHL-MA00383/2022|OQ330990.1|2022-10-19	OQ330990.1	2022-10-19	USA		195593	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00383/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00384/2022|OQ330991.1|2022-10-21	OQ330991.1	2022-10-21	USA		195624	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00384/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00385/2022|OQ330992.1|2022-10-21	OQ330992.1	2022-10-21	USA		195906	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00385/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00371/2022|OQ330993.1|2022-10-24	OQ330993.1	2022-10-24	USA		196312	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00371/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00386/2022|OQ330994.1|2022-10-25	OQ330994.1	2022-10-25	USA		195591	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00386/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00388/2022|OQ330995.1|2022-12-10	OQ330995.1	2022-12-10	USA		196000	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00388/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00389/2022|OQ330996.1|2022-12-12	OQ330996.1	2022-12-12	USA		195965	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00389/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00390/2022|OQ330997.1|2022-12-14	OQ330997.1	2022-12-14	USA		195592	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00390/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.2
Monkeypox_virus/Human/USA/CA-LACPHL-MA00400/2022|OQ330998.2|2022-12-19	OQ330998.2	2022-12-19	USA		194265	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00400/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.17
Monkeypox_virus/Human/USA/CA-LACPHL-MA00391/2022|OQ330999.2|2022-12-19	OQ330999.2	2022-12-19	USA		195588	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00391/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.17
Monkeypox_virus/Human/USA/CA-LACPHL-MA00401/2022|OQ331000.2|2022-12-19	OQ331000.2	2022-12-19	USA		194270	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00401/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.17
Monkeypox_virus/Human/USA/CA-LACPHL-MA00373/2022|OQ331001.1|2022-11-23	OQ331001.1	2022-11-23	USA		196452	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00373/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00374/2022|OQ331002.1|2022-11-23	OQ331002.1	2022-11-23	USA		195895	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00374/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00392/2022|OQ331003.1|2022-12-06	OQ331003.1	2022-12-06	USA		195895	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00392/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1.6
Monkeypox_virus/Human/USA/CA-LACPHL-MA00393/2022|OQ331004.1|2022-12-13	OQ331004.1	2022-12-13	USA		195591	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00393/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00396/2023|OQ331005.1|2023-01-03	OQ331005.1	2023-01-03	USA		196343	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00396/2023	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00397/2023|OQ331006.1|2023-01-03	OQ331006.1	2023-01-03	USA		197134	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00397/2023	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00398/2023|OQ331007.1|2023-01-03	OQ331007.1	2023-01-03	USA		196310	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00398/2023	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Monkeypox_virus/Human/USA/CA-LACPHL-MA00399/2022|OQ331008.1|2022-12-30	OQ331008.1	2022-12-30	USA		196394	Homo sapiens			Monkeypox virus/Human/USA/CA-LACPHL-MA00399/2022	Hemarajata,P., Green,N.M., Garrigues,J.M.		B.1
Germany/2022/ON/RKI687|OQ339206.1|2022-08	OQ339206.1	2022-08	Germany		190619	Homo sapiens			Germany/2022/ON/RKI687	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI688|OQ339207.1|2022-08	OQ339207.1	2022-08	Germany		190622	Homo sapiens			Germany/2022/ON/RKI688	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI689|OQ339208.1|2022-08	OQ339208.1	2022-08	Germany		190614	Homo sapiens			Germany/2022/ON/RKI689	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI690|OQ339209.1|2022-08	OQ339209.1	2022-08	Germany		190614	Homo sapiens			Germany/2022/ON/RKI690	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI691|OQ339210.1|2022-08	OQ339210.1	2022-08	Germany		190629	Homo sapiens			Germany/2022/ON/RKI691	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI692|OQ339211.1|2022-08	OQ339211.1	2022-08	Germany		190617	Homo sapiens			Germany/2022/ON/RKI692	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.5
Germany/2022/ON/RKI693|OQ339212.1|2022-08	OQ339212.1	2022-08	Germany		190618	Homo sapiens			Germany/2022/ON/RKI693	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI694|OQ339213.1|2022-08	OQ339213.1	2022-08	Germany		190613	Homo sapiens			Germany/2022/ON/RKI694	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1
Germany/2022/ON/RKI695|OQ339214.1|2022-08	OQ339214.1	2022-08	Germany		190621	Homo sapiens			Germany/2022/ON/RKI695	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.1
Germany/2022/ON/RKI696|OQ339215.1|2022-08	OQ339215.1	2022-08	Germany		190630	Homo sapiens			Germany/2022/ON/RKI696	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.1
Germany/2022/ON/RKI697|OQ339216.1|2022-08	OQ339216.1	2022-08	Germany		190627	Homo sapiens			Germany/2022/ON/RKI697	Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.		B.1.1
USA/CA-CDPH-1MPX1000059/2022|OQ348839.1|2022-06-14	OQ348839.1	2022-06-14	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000059/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000091/2022|OQ348840.1|2022-06-04	OQ348840.1	2022-06-04	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000091/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000092/2022|OQ348841.1|2022-06-28	OQ348841.1	2022-06-28	USA		195970	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000092/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000093/2022|OQ348842.1|2022-07-01	OQ348842.1	2022-07-01	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000093/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000094/2022|OQ348843.1|2022-06-29	OQ348843.1	2022-06-29	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000094/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000095/2022|OQ348844.1|2022-06-30	OQ348844.1	2022-06-30	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000095/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000096/2022|OQ348845.1|2022-07-10	OQ348845.1	2022-07-10	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000096/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000097/2022|OQ348846.1|2022-07-12	OQ348846.1	2022-07-12	USA		195691	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000097/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000098/2022|OQ348847.1|2022-07-20	OQ348847.1	2022-07-20	USA		195675	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000098/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000099/2022|OQ348848.1|2022-07-06	OQ348848.1	2022-07-06	USA		195671	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000099/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000100/2022|OQ348849.1|2022-07-06	OQ348849.1	2022-07-06	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000100/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000101/2022|OQ348850.1|2022-07-06	OQ348850.1	2022-07-06	USA		195690	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000101/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1.11
USA/CA-CDPH-1MPX1000102/2022|OQ348851.1|2022-07-05	OQ348851.1	2022-07-05	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000102/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000103/2022|OQ348852.1|2022-07-08	OQ348852.1	2022-07-08	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000103/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000104/2022|OQ348853.1|2022-07-11	OQ348853.1	2022-07-11	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000104/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000105/2022|OQ348854.1|2022-07-17	OQ348854.1	2022-07-17	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000105/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000106/2022|OQ348855.1|2022-08-08	OQ348855.1	2022-08-08	USA		196494	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000106/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000107/2022|OQ348856.1|2022-07-15	OQ348856.1	2022-07-15	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000107/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000108/2022|OQ348857.1|2022-06-14	OQ348857.1	2022-06-14	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000108/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000109/2022|OQ348858.1|2022-08-07	OQ348858.1	2022-08-07	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000109/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000110/2022|OQ348859.1|2022-06-28	OQ348859.1	2022-06-28	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000110/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000112/2022|OQ348860.1|2022-12-14	OQ348860.1	2022-12-14	USA		195705	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000112/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1.2
USA/CA-CDPH-1MPX1000113/2022|OQ348861.1|2022-08-19	OQ348861.1	2022-08-19	USA		195675	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000113/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000114/2022|OQ348862.1|2022-08-10	OQ348862.1	2022-08-10	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000114/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000115/2022|OQ348863.1|2022-08-09	OQ348863.1	2022-08-09	USA		195917	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000115/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000116/2022|OQ348864.1|2022-08-08	OQ348864.1	2022-08-08	USA		195867	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000116/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000117/2022|OQ348865.1|2022-07-18	OQ348865.1	2022-07-18	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000117/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000118/2022|OQ348866.1|2022-09-16	OQ348866.1	2022-09-16	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000118/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000119/2022|OQ348867.1|2022-09-16	OQ348867.1	2022-09-16	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000119/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000120/2022|OQ348868.1|2022-09-20	OQ348868.1	2022-09-20	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000120/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1.6
USA/CA-CDPH-1MPX1000122/2022|OQ348869.1|2022-09-01	OQ348869.1	2022-09-01	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000122/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000123/2022|OQ348870.1|2022-06-30	OQ348870.1	2022-06-30	USA		196291	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000123/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000124/2022|OQ348871.1|2022-06-20	OQ348871.1	2022-06-20	USA		195689	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000124/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000125/2022|OQ348872.1|2022-06-21	OQ348872.1	2022-06-21	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000125/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000126/2022|OQ348873.1|2022-06-21	OQ348873.1	2022-06-21	USA		196478	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000126/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000127/2022|OQ348874.1|2022-06-24	OQ348874.1	2022-06-24	USA		196379	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000127/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000128/2022|OQ348875.1|2022-06-27	OQ348875.1	2022-06-27	USA		196057	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000128/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000129/2022|OQ348876.1|2022-06-27	OQ348876.1	2022-06-27	USA		196038	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000129/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000130/2022|OQ348877.1|2022-06-27	OQ348877.1	2022-06-27	USA		195669	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000130/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
USA/CA-CDPH-1MPX1000131/2022|OQ348878.1|2022-06-29	OQ348878.1	2022-06-29	USA		196335	Homo sapiens	PRJNA884422		USA/CA-CDPH-1MPX1000131/2022	Probert,W., Espinosa,A., Kath,C., Haw,M., O'Neil,R., Bell,J., Hacker,J.		B.1
